country_id,country
1,US
2,NZ
3,DE
4,GB
5,AU
6,SG
7,IL
8,AE
9,CA
10,IN
11,EG
12,PL
13,GR
14,
15,PK
16,BE
17,BR
18,SA
19,DK
20,RU
21,ZA
22,CY
23,HK
24,TR
25,IE
26,LT
27,JP
28,NL
29,AT
30,KR
31,FR
32,EE
33,TH
34,PA
35,KE
36,MU
37,MX
38,RO
39,MY
40,FI
41,CN
42,ES
43,SE
44,CL
45,UA
46,QA
47,IT
48,LV
49,IQ
50,BG
51,PH
52,CZ
53,VI
54,MT
55,HU
56,BD
57,KW
58,LU
59,NG
60,RS
61,BY
62,VN
63,ID
64,ZM
65,NO
66,BH
67,UG
68,CH
69,TT
70,SD
71,SK
72,AR
73,TW
74,PT
75,PE
76,CO
77,IS
78,SI
79,MA
80,AM
81,TN
82,GH
83,AL
84,HR
85,CM
86,SV
87,NI
88,LK
89,JM
90,KZ
91,KH
