industry_id,industry
1,
2,Marketing and Advertising
3,Computer Software
4,Hospital & Health Care
5,Online Media
6,Information Technology and Services
7,Financial Services
8,Management Consulting
9,Events Services
10,Internet
11,Facilities Services
12,Consumer Electronics
13,Telecommunications
14,Consumer Services
15,Construction
16,Oil & Energy
17,Education Management
18,Building Materials
19,Banking
20,Food & Beverages
21,Food Production
22,"Health, Wellness and Fitness"
23,Insurance
24,E-Learning
25,Cosmetics
26,Staffing and Recruiting
27,Venture Capital & Private Equity
28,"Leisure, Travel & Tourism"
29,Human Resources
30,Pharmaceuticals
31,Farming
32,Legal Services
33,Luxury Goods & Jewelry
34,Machinery
35,Real Estate
36,Mechanical or Industrial Engineering
37,Public Relations and Communications
38,Consumer Goods
39,Medical Practice
40,Electrical/Electronic Manufacturing
41,Hospitality
42,Music
43,Market Research
44,Automotive
45,Philanthropy
46,Utilities
47,Primary/Secondary Education
48,Logistics and Supply Chain
49,Design
50,Gambling & Casinos
51,Accounting
52,Environmental Services
53,Mental Health Care
54,Investment Management
55,Apparel & Fashion
56,Media Production
57,Publishing
58,Medical Devices
59,Information Services
60,Retail
61,Sports
62,Computer Games
63,Chemicals
64,Aviation & Aerospace
65,Business Supplies and Equipment
66,Program Development
67,Computer Networking
68,Biotechnology
69,Civic & Social Organization
70,Religious Institutions
71,Warehousing
72,Airlines/Aviation
73,Writing and Editing
74,Restaurants
75,Outsourcing/Offshoring
76,Transportation/Trucking/Railroad
77,Wireless
78,Investment Banking
79,Nonprofit Organization Management
80,Libraries
81,Computer Hardware
82,Broadcast Media
83,Printing
84,Graphic Design
85,Entertainment
86,Wholesale
87,Research
88,Animation
89,Government Administration
90,Capital Markets
91,Computer & Network Security
92,Semiconductors
93,Security and Investigations
94,Architecture & Planning
95,Maritime
96,Fund-Raising
97,Higher Education
98,Renewables & Environment
99,Motion Pictures and Film
100,Law Practice
101,Government Relations
102,Packaging and Containers
103,Sporting Goods
104,Mining & Metals
105,Import and Export
106,International Trade and Development
107,Professional Training & Coaching
108,Textiles
109,Commercial Real Estate
110,Law Enforcement
111,Package/Freight Delivery
112,Translation and Localization
113,Photography
114,Industrial Automation
115,Wine and Spirits
116,Public Safety
117,Civil Engineering
118,Military
119,Defense & Space
120,Veterinary
121,Executive Office
122,Performing Arts
123,Individual & Family Services
124,Public Policy
125,Nanotechnology
126,Museums and Institutions
127,Fishery
128,Plastics
129,Furniture
130,Shipbuilding
131,Alternative Dispute Resolution
132,Ranching
