job_id,title,department,salary_range,telecommuting,has_company_logo,has_questions,fraudulent,country_id,emp_type_id,req_exp_id,req_edu_id,industry_id,function_id
1,Marketing Intern,Marketing,,False,True,False,False,1,1,1,1,1,1
2,Customer Service - Cloud Video Production,Success,,False,True,False,False,2,2,2,1,2,2
3,Commissioning Machinery Assistant (CMA),,,False,True,False,False,1,3,3,1,1,3
4,Account Executive - Washington DC,Sales,,False,True,False,False,1,2,4,2,3,4
5,Bill Review Manager,,,False,True,True,False,1,2,4,2,4,5
6,Accounting Clerk,,,False,False,False,False,1,3,3,1,1,3
7,Head of Content (m/f),ANDROIDPIT,20000-28000,False,True,True,False,3,2,4,3,5,6
8,Lead Guest Service Specialist   ,,,False,True,True,False,1,3,3,1,1,3
9,HP BSM SME,,,False,True,True,False,1,2,5,1,6,3
10,Customer Service Associate - Part Time ,,,False,True,False,False,1,4,6,4,7,2
11,"ASP.net Developer Job opportunity at United States,New Jersey",,100000-120000,False,False,False,False,1,2,4,2,6,7
12,Talent Sourcer (6 months fixed-term contract),HR,,False,True,False,False,4,3,3,1,1,3
13,"Applications Developer, Digital ",,,False,True,False,False,1,2,5,2,8,7
14,Installers,,,False,True,True,False,1,2,2,5,9,8
15,Account Executive - Sydney,Sales,,False,True,False,False,5,2,5,2,10,4
16,VP of Sales - Vault Dragon,Sales,120000-150000,False,True,True,False,6,2,7,2,11,4
17,Hands-On QA Leader , R&D,,False,True,False,False,7,2,4,1,10,9
18,Southend-on-Sea Traineeships Under NAS 16-18 Year Olds Only,,,False,True,True,False,4,3,3,1,1,3
19,Visual Designer,,,False,True,False,False,1,3,3,1,1,3
20,Process Controls Engineer - DCS PLC MS Office - PA,,,False,False,False,False,1,2,3,1,1,3
21,Marketing Assistant,,,False,True,False,False,1,3,3,1,1,1
22,Front End Developer   ,,,False,True,False,False,2,2,4,3,12,9
23,Engagement Manager ,Engagement,,False,True,True,False,8,2,4,2,13,4
24,"Vice President, Sales and Sponsorship (Businessfriend.com)",Businessfriend.com,100000-120000,False,True,False,False,1,2,7,5,10,4
25,Customer Service ,,,False,False,False,False,4,3,3,1,1,3
26,H1B SPONSOR FOR L1/L2/OPT,,,False,True,True,False,1,3,3,1,1,3
27,Marketing Exec,Marketing,,False,True,False,False,6,2,5,1,5,1
28,HAAD/DHA Licensed Doctors Opening in UAE,Medical,,False,True,False,False,8,2,5,3,4,5
29,Talent Management Process Manager,,,False,False,False,False,1,2,3,1,8,3
30,Customer Service Associate ,,,False,True,False,False,9,2,6,4,14,10
31,Customer Service Technical Specialist ,,,False,True,False,False,1,2,6,4,3,2
32,Software Applications Specialist,,50000-65000,False,True,False,False,1,2,5,5,3,9
33,Craftsman Associate,Field,,False,True,True,False,1,2,6,5,15,8
34,Completion Engineer,,,False,True,True,False,1,2,3,2,16,9
35,I Want To Work At Karmarama,All,,False,True,True,False,4,2,3,1,2,3
36,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
37,Graduates: English Teacher Abroad ,,,False,True,False,False,1,5,3,2,17,3
38,PROJECT MANAGER,,,False,False,False,False,1,2,4,2,16,9
39,Art Director,Design,,False,True,True,False,10,2,4,1,3,11
40,Receptionist/Customer Service Technical Specialist ,,,False,True,False,False,1,2,6,4,7,10
41,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
42,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
43,Jr. Developer,,40000-50000,False,False,False,False,1,2,6,2,3,9
44,Customer Service Associate Receptionist ,,,False,True,False,False,1,2,6,4,14,2
45,Customer Service Team Lead ,,,False,True,False,False,1,2,6,4,3,2
46,Inside Sales Professional-Omaha,,,False,True,False,False,1,2,3,1,18,4
